username,followers
"('JoeBiden',)","(3,)"
"('BarackObama',)","(2,)"
"('Callux',)","(1,)"
"('mollymaehague',)","(1,)"
"('trishamemes',)","(1,)"
"('JayFromTGF',)","(1,)"
"('newlook',)","(1,)"
"('KSI',)","(1,)"
"('OfficialPLT',)","(1,)"
"('GlamourMagUK',)","(1,)"
"('NICKIMINAJ',)","(1,)"
"('ladbible',)","(1,)"
"('LittleMix',)","(1,)"
"('khloekardashian',)","(1,)"
"('Sidemen',)","(1,)"
"('YouTube',)","(1,)"
"('ArianaGrande',)","(1,)"
"('trvisXX',)","(1,)"
"('KUWTK',)","(1,)"
"('NiallOfficial',)","(1,)"
"('RomellHenryTgf',)","(1,)"
"('Louis_Tomlinson',)","(1,)"
"('LiamPayne',)","(1,)"
"('antanddec',)","(1,)"
"('KendallJenner',)","(1,)"
"('KylieJenner',)","(1,)"
"('Zendaya',)","(1,)"
"('iamcardib',)","(1,)"
"('ASOS',)","(1,)"
"('BorisJohnson',)","(1,)"
"('KimKardashian',)","(1,)"
"('pooshdotcom',)","(1,)"
"('jackwhitehall',)","(1,)"
"('boohoo',)","(1,)"
"('NetflixUK',)","(1,)"
"('kourtneykardash',)","(1,)"
"('Missguided',)","(1,)"
"('KrisJenner',)","(1,)"
"('zaynmalik',)","(1,)"
"('kylieskin',)","(1,)"
"('BernieSanders',)","(1,)"
"('ewarren',)","(1,)"
"('nytimes',)","(1,)"
"('SenKamalaHarris',)","(1,)"
"('jaketapper',)","(1,)"
"('BillGates',)","(1,)"
"('Xbox',)","(1,)"
"('insomniacgames',)","(1,)"
"('XboxSupport',)","(1,)"
"('PlayStation',)","(1,)"
"('AskPlayStation',)","(1,)"
"('AriFleischer',)","(1,)"
"('TheEllenShow',)","(1,)"
"('elonmusk',)","(1,)"
"('VancityReynolds',)","(1,)"
"('IvankaTrump',)","(1,)"
"('ladygaga',)","(1,)"
"('seanhannity',)","(1,)"
"('JLo',)","(1,)"
"('katyperry',)","(1,)"
"('VP',)","(1,)"
"('ananavarro',)","(1,)"
"('DanCrenshawTX',)","(1,)"
"('billmaher',)","(1,)"
"('stephenasmith',)","(1,)"
"('KamalaHarris',)","(1,)"
"('SpeakerPelosi',)","(1,)"
"('HillaryClinton',)","(1,)"
"('AOC',)","(1,)"
"('UNoticias',)","(1,)"
"('ElNacionalWeb',)","(1,)"
"('VTVcanal8',)","(1,)"
"('CarnetDLaPatria',)","(1,)"
"('ConElMazoDando',)","(1,)"
